Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      236    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 _zstdfile.py:1(<module>)
        8    0.000    0.000    0.000    0.000 inspect.py:1725(getattr_static)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
       10    0.000    0.000    0.000    0.000 _colorize.py:276(_safe_getenv)
       13    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 annotationlib.py:404(__convert_to_ast_getitem)
       35    0.000    0.000    0.000    0.000 dataclasses.py:922(_set_new_attribute)
       41    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
       47    0.000    0.000    0.000    0.000 enum.py:746(__delattr__)
        1    0.000    0.000    0.000    0.000 _colorize.py:242(no_colors)
        4    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
        5    0.000    0.000    0.000    0.000 enum.py:1594(__and__)
        3    0.000    0.000    0.000    0.000 locale.py:352(_replace_encoding)
      302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
       46    0.000    0.000    0.000    0.000 enum.py:677(__call__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
       35    0.000    0.000    0.000    0.000 enum.py:811(__setattr__)
        6    0.000    0.000    0.000    0.000 enum.py:928(_get_mixins_)
       51    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        8    0.000    0.000    0.000    0.000 inspect.py:1686(_check_class)
       85    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 _colorize.py:140(no_colors)
       20    0.000    0.000    0.000    0.000 inspect.py:663(unwrap)
        4    0.000    0.000    0.000    0.000 annotationlib.py:361(__convert_to_ast)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       82    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        5    0.000    0.000    0.000    0.000 dataclasses.py:943(_hash_add)
      185    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       37    0.000    0.000    0.000    0.000 argparse.py:1475(register)
        1    0.000    0.000    0.000    0.000 __init__.py:209(DecompressionParameter)
        8    0.000    0.000    0.000    0.000 _colorize.py:127(__post_init__)
        2    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
      126    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       31    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
       24    0.000    0.000    0.000    0.000 <frozen os>:786(encode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 shutil.py:1511(get_terminal_size)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
        5    0.000    0.000    0.000    0.000 dataclasses.py:415(_fields_in_init_order)
       48    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:969(_find_data_type_)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       51    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
        3    0.000    0.000    0.000    0.000 __init__.py:44(normalize_encoding)
